"district_name","district_code","first_year","year","second_year","grade_pk","grade_k","grade_1","grade_2","grade_3","grade_4","grade_5","grade_6","grade_7","grade_8","grade_9","grade_10","grade_11","grade_12","grade_sp","total_enrollment","total_teachers","pct_teachers_licensed","student_teacher_ratio","pct_experienced_teachers","pct_teachers_without_waiver","pct_teaching_in_field","total_core_academic_classes","pct_core_classes_taught_by_exp_teachers","salary_total","average_salary","in_district_exp","total_in_district_fte","in_district_exp_per_pupil","total_exp","total_pupil_ftes","total_exp_per_pupil","sci_advanced_proficient_number","sci_advanced_proficient_pct","sci_advanced_number","sci_advanced_pct","sci_proficient_number","sci_proficient_pct","sci_needs_imp_number","sci_needs_imp_pct","sci_warning_failing_number","sci_warning_failing_pct","sci_student_included","ela_advanced_proficient_number","ela_advanced_proficient_pct","ela_advanced_number","ela_advanced_pct","ela_proficient_number","ela_proficient_pct","ela_needs_imp_number","ela_needs_imp_pct","ela_warning_failing_number","ela_warning_failing_pct","ela_student_included","mth_advanced_proficient_number","mth_advanced_proficient_pct","mth_advanced_number","mth_advanced_pct","mth_proficient_number","mth_proficient_pct","mth_needs_imp_number","mth_needs_imp_pct","mth_warning_failing_number","mth_warning_failing_pct","mth_student_included","sat_tests_taken","sat_reading_writing","sat_math","ap_tests_taken","ap_1","ap_2","ap_3","ap_4","ap_5","ap_score_1_2_pct","ap_score_3_5_pct","contract_length","year_1","year_2","year_3","cola_2015_16","cola_2016_17","cola_2017_18","cola_2018_19","cola_2019_20","cola_2020_21","cola_2021_22","cola_2022_23","cola_2023_24","upper_left_2015_16","upper_left_2016_17","upper_left_2017_18","upper_left_2018_19","upper_left_2019_20","upper_left_2020_21","upper_left_2021_22","upper_left_2022_23","upper_left_2023_24","lower_right_2015_16","lower_right_2016_17","lower_right_2017_18","lower_right_2018_19","lower_right_2019_20","lower_right_2020_21","lower_right_2021_22","lower_right_2022_23","lower_right_2023_24","salary_avg_2015_16","salary_avg_2016_17","salary_avg_2017_18","salary_avg_2018_19","salary_avg_2019_20","salary_avg_2020_21","salary_avg_2021_22","salary_avg_2022_23","salary_avg_2023_24","num_steps","num_lanes","avg_pct_increase_steps","pct_increase_last_step","avg_pct_increase_lanes","pct_increase_bachelors_masters","pct_increase_masters_doctorate","longevity_start_year","longevity_end_year","longevity_min_pay","longevity_max_pay","num_days_with_students","num_days_without_students_teachers","num_days_without_students_guidance","num_days_without_students_nurses","nurses_unionized","pct_health_insurance_paid","personal_days_annually","personal_days_carry_over","personal_days_carry_over_max","personal_days_paid_for_unused","personal_days_paid_for_unused_rate","sick_days","sick_days_buy_back","sick_days_buy_back_rate","sick_leave_bank","sick_leave_bank_cap","bereavement_days","religious_days","other_days","comp_for_attendance","guidance_max_ration_hs","max_class_size_ratio_elementary","max_student_ratio_hs","special_ed_ratio_elementary","special_ed_ratio_hs","children_of_teachers_attending","length_of_workday_elementary","length_of_workday_hs","early_retirement_incentives","unit_b","tuition_reimbursement","first_lang_not_eng","first_lang_not_eng_pct","english_learner","english_learner_pct","disabled","disabled_pct","high_need","high_need_pct","low_income","low_income_pct","league","city","county"
"Abby Kelley Foster Charter Public (District)",4450000,2018,"2018-19",2019,0,117,114,116,118,116,118,120,114,120,109,96,87,83,0,1428,116.4,0.945,12.3,0.764,0.871,0.851,NA,NA,NA,NA,20082710.55,1424.9,14094.02,20082710.55,1424.9,14094.02,84,88,33,35,51,54,10,11,1,1,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,536,524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,910,63.7,141,9.9,171,12,803,56.2,538,37.7,"Colonial Athletic","Worcester","Worcester"
"Abby Kelley Foster Charter Public (District)",4450000,2016,"2016-17",2017,0,116,113,118,122,119,118,127,121,115,96,86,93,81,0,1425,106.6,0.953,13.4,NA,NA,NA,590,0.992,NA,NA,NA,NA,NA,NA,NA,NA,85,99,58,67,27,31,1,1,0,0,86,86,100,58,67,28,33,0,0,0,0,86,80,93,63,73,17,20,6,7,0,0,86,119,539,517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,868,60.9,102,7.2,147,10.3,730,51.2,530,37.2,"Colonial Athletic","Worcester","Worcester"
"Abby Kelley Foster Charter Public (District)",4450000,2015,"2015-16",2016,0,111,116,124,120,122,126,124,120,112,93,95,84,79,0,1426,118.1,0.975,12.1,NA,NA,NA,606,1,NA,NA,NA,NA,NA,NA,NA,NA,92,98,38,40,54,57,2,2,0,0,94,93,99,56,60,37,39,1,1,0,0,94,81,86,59,63,22,23,13,14,0,0,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377,26.4,107,7.5,147,10.3,706,49.5,473,33.2,"Colonial Athletic","Worcester","Worcester"
"Abby Kelley Foster Charter Public (District)",4450000,2019,"2019-20",2020,0,114,120,119,120,116,116,120,115,106,102,104,89,84,0,1425,117.2,0.931,12.2,0.745,0.882,0.861,NA,NA,NA,NA,21896724.82,1425.4,15361.6,21896724.82,1425.4,15361.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,520,494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,925,64.9,157,11,175,12.3,802,56.3,552,38.7,"Colonial Athletic","Worcester","Worcester"
"Abby Kelley Foster Charter Public (District)",4450000,2021,"2021-22",2022,0,119,118,119,119,120,124,119,112,109,91,93,90,93,0,1426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,965,67.7,221,15.5,189,13.3,1101,77.2,982,68.9,"Colonial Athletic","Worcester","Worcester"
"Abby Kelley Foster Charter Public (District)",4450000,2017,"2017-18",2018,0,117,116,113,117,122,118,115,123,120,101,88,84,91,0,1425,109,0.978,13.1,0.811,0.837,NA,NA,NA,NA,NA,17867690.22,1424.9,12539.48,17867690.22,1424.9,12539.48,81,92,48,55,33,38,7,8,0,0,88,87,99,49,56,38,43,1,1,0,0,88,75,85,55,63,20,23,12,14,1,1,88,119,536,526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,913,64.1,137,9.6,171,12,751,52.7,568,39.9,"Colonial Athletic","Worcester","Worcester"
"Abby Kelley Foster Charter Public (District)",4450000,2020,"2020-21",2021,0,117,116,120,118,117,115,117,114,111,97,99,98,86,0,1425,115.1,0.948,12.4,0.724,0.878,0.874,NA,NA,NA,NA,21885215.62,1421.4,15396.51,21885215.62,1421.4,15396.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,593,528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,952,66.8,195,13.7,173,12.1,887,62.2,684,48,"Colonial Athletic","Worcester","Worcester"
"Abington",10000,2017,"2017-18",2018,84,137,155,132,168,151,154,188,178,167,153,130,111,123,3,2034,123.5,1,16.5,0.811,0.936,NA,NA,NA,10610746,85917,25908215,1926.2,13450.43,29737218,2040.5,14573.5,97,85,40,35,57,50,12,11,5,4,114,115,93,70,56,45,36,3,2,6,5,124,110,89,70,56,40,32,9,7,5,4,124,139,550,535,146,13,32,55,34,12,30.8,69.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,8.9,97,4.8,296,14.4,730,35.5,477,23.5,"South Shore","Abington","Plymouth"
"Abington",10000,2016,"2016-17",2017,69,134,125,164,148,143,180,173,159,169,124,109,123,92,4,1916,130.8,1,14.7,NA,NA,NA,732,0.986,10347229,79107,24591377,1919.1,12814.02,28487257,2028,14046.97,80,83,34,35,46,48,14,15,2,2,96,103,95,52,48,51,47,5,5,1,1,109,98,91,63,58,35,32,6,6,4,4,108,140,537,532,128,11,45,46,22,4,43.8,56.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,7.8,72,3.8,269,13.9,647,33.3,416,21.7,"South Shore","Abington","Plymouth"
"Abington",10000,2018,"2018-19",2019,90,153,142,160,129,165,159,154,187,172,159,149,125,107,5,2056,122.2,1,16.8,0.888,0.934,0.915,NA,NA,11469788,93861,27401268.06,2035.5,13461.69,31082174.03,2139.6,14527.1,100,71,37,26,63,45,37,26,3,2,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148,528,525,137,11,53,37,23,13,46.7,53.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214,10.4,102,5,331,15.9,741,35.6,449,21.8,"South Shore","Abington","Plymouth"
